id,value,category
1,-0.18271141995602005,B
2,-0.043369222085429975,C
3,-1.1635624491767094,C
4,1.0082391092508336,B
5,0.42192561949496055,C
6,-0.1681867939631738,C
7,-0.1854896087442667,A
8,-1.1649130397728222,A
9,0.45921592296391445,B
10,0.15688816458071247,A
11,-2.197311362228377,B
12,-1.1143229992860941,A
13,-1.3283264330030529,A
14,-0.9829403930073859,C
15,1.767991942964136,B
16,-0.2683106104240876,A
17,-0.30651351072454136,A
18,-0.4203171461542984,A
19,-0.3713609447433859,C
20,0.65377795318536,C
21,-1.30414351675794,C
22,-1.7134522360461653,A
23,-1.1874140674481448,C
24,-0.7092478440490321,A
25,0.43722644545483974,B
26,-0.4571662830924411,A
27,0.6891787156538187,A
28,0.17204794458028985,C
29,1.7842985476644702,B
30,0.4385689922480499,B
31,-0.6120031159630818,B
32,0.4922054919348525,A
33,0.9014515216056675,A
34,1.5002694256158335,A
35,-1.2400247047940558,A
36,-0.12697971867482,C
37,0.8451054177794037,C
38,0.5908790855359229,C
39,-0.021530409087351727,A
40,1.3456698944855545,C
41,0.034183614035058915,B
42,1.3994176803135043,B
43,-0.6932809332083611,C
44,0.41451900679475845,C
45,-0.941481232886962,B
46,-2.2446007321991677,A
47,-0.4335796634617336,B
48,1.652090124354585,A
49,1.1587056149091248,B
50,0.4048948164993835,B
51,-2.2880925415049616,B
52,-0.7583076393639137,A
53,-0.3796266794290603,B
54,0.4835497008397615,C
55,0.9994744259744692,B
56,-2.9537016102974176,B
57,-0.06316373369227318,A
58,0.11582716339629252,A
59,-0.21246559693121367,A
60,0.3010129940716127,A
61,-0.07351512845888085,B
62,-0.9600906617798913,A
63,-1.4529945551501964,B
64,-1.2000611429217383,A
65,-0.7429841607259515,A
66,-0.8067164850000488,A
67,-2.0300195342381158,B
68,1.670638369299891,C
69,0.06313546071498555,B
70,-0.4792020699281765,A
71,-0.504122245677833,B
72,1.2543885816246751,C
73,0.24867174802917874,A
74,0.7053153815383245,B
75,1.4957031558798755,A
76,-0.20419122366010362,A
77,1.6187467692581068,B
78,0.36968606995191633,A
79,1.7465902706854444,C
80,0.7764284961093713,C
81,1.0726383927155205,B
82,1.0272673013224307,C
83,0.8840131635671437,A
84,0.13965695086591717,C
85,1.7990797425015188,A
86,-0.22473945530483594,A
87,1.9737709612971728,A
88,-0.12325727186535745,B
89,0.13994246484696837,B
90,-1.496900971554668,C
91,1.5508350139040183,A
92,-1.3743685373005676,A
93,0.867079718969551,C
94,0.3460525792178862,C
95,0.5483445819521083,A
96,-0.49442558604379716,C
97,0.638514179728873,B
98,-0.43660779271941663,B
99,-0.34486738465371725,B
100,-0.6717137086631154,B
101,-0.8872516270612129,C
102,0.5034353020836305,A
103,-0.1969394021171873,A
104,2.277199620116101,A
105,0.11092544466637118,A
106,0.4560302556751444,A
107,-0.7050823063631751,A
108,0.25136575576111764,C
109,-0.5015706903838091,B
110,-0.25735557741940795,A
111,-1.2149982993619344,C
112,0.21778151232976672,B
113,-1.0233565934789954,B
114,0.8930705941110049,C
115,1.1646134781479422,C
116,1.3552160250306668,A
117,0.9134623265894419,B
118,-0.3309548130771804,A
119,0.9426728450457065,C
120,1.0995114273495874,C
121,-1.4151136146067913,A
122,-1.2409671189767306,B
123,0.1696245787255577,C
124,-0.1440904690219076,C
125,1.432925597236511,B
126,1.7653364048148443,A
127,0.4011879881263003,C
128,-1.007106244724931,A
129,0.769289074252621,B
130,-2.170500658188092,B
131,1.6991962123478266,C
132,-0.018491695555875307,C
133,-0.025347984952523002,A
134,-0.17813154730017872,A
135,-0.20489510687178644,B
136,0.5365031970545759,C
137,-0.5280515856508938,C
138,0.3706890260555843,B
139,0.0008563003830202764,A
140,-0.8815834722346991,A
141,-1.0182782527653242,A
142,-1.2083488044338506,B
143,-0.5376626566289731,B
144,-0.181444461632783,C
145,-0.9201366518892833,C
146,-0.6249009997450238,A
147,-0.7321366322215997,B
148,1.0819775901946922,A
149,0.5798937776130578,B
150,-1.7665017004791803,C
151,-2.235721762893927,C
152,-0.7579662561941986,B
153,1.087486393671177,C
154,1.057973518609294,C
155,1.0013065995128982,A
156,2.539721877250307,C
157,0.7221655605310268,B
158,-0.2120925008265024,B
159,0.7542688081791359,B
160,0.7304186258578804,C
161,-1.7256655497206557,C
162,-0.9598048117010257,B
163,-0.1749654318049637,B
164,-0.4112035621264153,B
165,0.6400733209000496,C
166,0.10646261294171817,C
167,0.07056192916076873,C
168,-0.2577661998421937,C
169,0.10334077567109554,C
170,-1.191092742498899,B
171,-0.859824549601601,C
172,-1.176787663650492,A
173,0.6181302112025985,C
174,-1.220215397281341,B
175,0.996449338679076,C
176,-0.09678687770081866,C
177,-2.467878574349524,C
178,-1.8821549084890075,A
179,0.21521548327367543,B
180,0.8596825490434088,A
181,-0.5242011431246869,B
182,0.2880214923035518,C
183,0.22337282149643023,A
184,-1.3439793699915656,C
185,-1.402487728594208,B
186,0.4412283778524524,B
187,0.2519379247462053,C
188,1.6086501429675197,A
189,1.034047100316318,A
190,-1.106335971639368,C
191,-1.4744131709325974,C
192,0.30443003884819847,A
193,-0.5341126125106128,A
194,-1.2845568777109868,B
195,-0.6721441159265032,C
196,-0.729437839481723,C
197,0.19257870415874304,B
198,0.08692011769696734,A
199,0.9859654115016776,C
